"Número","LOCALIDAD / DEMARCACION","CP","PROVINCIA","SERVICIO","FRECUENCIA (MHz)/CANAL","ADJUDICATRIO/LICENCIATARIO"
1,"ALANGE","06840","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.3 ","AYUNTAMIENTO DE ALANGE"
2,"ALBURQUERQUE","06510","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.6 ","AYUNTAMIENTO DE ALBURQUERQUE"
3,"ALMENDRALEJO","06200","Badajoz","RADIOFONICO (FM COMERCIAL)","89.8","RADIO ALMENDRALEJO S.L."
4,"ALMENDRALEJO","06200","Badajoz","RADIOFONICO (FM COMERCIAL)","88.6","RADIO POPULAR S.A."
5,"ALMENDRALEJO","06200","Badajoz","RADIOFONICO (FM COMERCIAL)","101.8","RADIO INTERIOR S.L."
6,"ALMENDRALEJO","06200","Badajoz","RADIOFONICO (FM COMERCIAL)","105.7","FRANCISCO JAVIER MORILLO BENEGAS"
7,"ALMENDRALEJO","06200","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.9 ","AYUNTAMIENTO DE ALMENDRALEJO"
8,"ALMENDRALEJO","06200","Badajoz","TELEVISIVO (TDTL COMERCIAL)","44","TELEVISION ALMENDRALEJO S.L."
9,"ARROYO DE SAN SERVAN","06850","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.1 ","AYUNTAMIENTO DE ARROYO DE SAN SERVAN"
10,"AZUAGA","06920","Badajoz","RADIOFONICO (FM COMERCIAL)","103.4","JUAN AGUILAR SANCHEZ"
11,"AZUAGA","06920","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.7 ","AYUNTAMIENTO DE AZUAGA"
12,"BADAJOZ","06001","Badajoz","RADIOFONICO (FM COMERCIAL)","87.6","RADIO INTERIOR S.L."
13,"BADAJOZ","06001","Badajoz","RADIOFONICO (FM COMERCIAL)","104.8","UNIPREX S.A.U"
14,"BADAJOZ","06001","Badajoz","RADIOFONICO (FM COMERCIAL)","91.3","GESTION INTEGRAL DE COMUNICACIÓN DE EXTREMADURA S.L."
15,"BADAJOZ","06001","Badajoz","RADIOFONICO (FM COMERCIAL)","96.9","SOCIEDAD ESPAÑOLA DE RADIODIFUSION S.A."
16,"BADAJOZ","06001","Badajoz","RADIOFONICO (FM COMERCIAL)","94.2","RADIOESTUDIO S.A."
17,"BADAJOZ","06001","Badajoz","RADIOFONICO (FM COMERCIAL)","93.5","SOCIEDAD ESPAÑOLA DE RADIODIFUSION S.A."
18,"BADAJOZ","06001","Badajoz","RADIOFONICO (FM COMERCIAL)","89.1","RADIO POPULAR S.A."
19,"BARCARROTA","06160","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.1 ","AYUNTAMIENTO DE BARCARROTA"
20,"CABEZA DEL BUEY","06600","Badajoz","RADIOFONICO (FM COMERCIAL)","94.0","KISS RADIO S.A."
21,"CABEZA DEL BUEY","06600","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.4 ","AYUNTAMIENTO DE CABEZA DEL BUEY"
22,"CALAMONTE","06810","Badajoz","RADIOFONICO (FM COMERCIAL)","94.1","SOCIEDAD ESPAÑOLA DE RADIODIFUSION S.A."
23,"CALAMONTE","06810","Badajoz","RADIOFONICO (FM MUNICIPAL)","88.4 ","AYUNTAMIENTO DE CALAMONTE"
24,"CALZADILLA DE LOS BARROS","06249","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.8 ","AYUNTAMIENTO DE CALZADILLA DE LOS BARROS"
25,"CASTUERA","06420","Badajoz","RADIOFONICO (FM COMERCIAL)","95.8","SANCHEZ SIERRA S.C."
26,"CASTUERA","06420","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.1 ","AYUNTAMIENTO DE CASTUERA"
27,"DON BENITO","06400","Badajoz","RADIOFONICO (FM COMERCIAL)","104.6","UNIPREX S.A.U"
28,"DON BENITO","06400","Badajoz","RADIOFONICO (FM COMERCIAL)","97.3","RADIO INTERIOR S.L."
29,"DON BENITO","06400","Badajoz","RADIOFONICO (FM COMERCIAL)","100.0","SOCIEDAD ESPAÑOLA DE RADIODIFUSION S.A."
30,"FREGENAL DE LA SIERRA","06340","Badajoz","RADIOFONICO (FM COMERCIAL)","95.5","CACERES, BADAJOZ Y MERIDA S.L."
31,"FREGENAL DE LA SIERRA","06340","Badajoz","RADIOFONICO (FM COMERCIAL)","90.8","KISS RADIO S.A."
32,"FUENTE DE CANTOS","06240","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.3 ","AYUNTAMIENTO DE FUENTE DE CANTOS"
33,"FUENTE DEL MAESTRE","06360","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.3 ","AYUNTAMIENTO DE FUENTE DEL MAESTRE"
34,"GUAREÑA","06410","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.6 ","AYUNTAMIENTO DE GUAREÑA"
35,"HERRERA DEL DUQUE","06670","Badajoz","RADIOFONICO (FM COMERCIAL)","104.7","UNIPREX S.A.U"
36,"HIGUERA LA REAL","06350","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.1 ","AYUNTAMIENTO DE HIGUERA LA REAL"
37,"HORNACHOS","06228","Badajoz","RADIOFONICO (FM COMERCIAL)","92.4","RADIO HORNACHOS S.L."
38,"HORNACHOS","06228","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.4 ","AYUNTAMIENTO DE HORNACHOS"
39,"JEREZ DE LOS CABALLEROS","06380","Badajoz","RADIOFONICO (FM COMERCIAL)","95.1","SOCIEDAD ESPAÑOLA DE RADIODIFUSION S.A."
40,"JEREZ DE LOS CABALLEROS","06380","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.9 ","AYUNTAMIENTO DE JEREZ DE LOS CABALLEROS"
41,"LLERENA","06900","Badajoz","RADIOFONICO (FM COMERCIAL)","106.7","CACERES, BADAJOZ Y MERIDA S.L."
42,"LLERENA","06900","Badajoz","RADIOFONICO (FM COMERCIAL)","105.6","RADIODIFUSORA DEL SUR S.L."
43,"LLERENA","06900","Badajoz","RADIOFONICO (FM COMERCIAL)","100.7","JUAN AGUILAR SANCHEZ"
44,"LOS SANTOS DE MAIMONA","06230","Badajoz","RADIOFONICO (FM COMERCIAL)","97.4","SOCIEDAD ESPAÑOLA DE RADIODIFUSION S.A."
45,"MEDINA DE LAS TORRES","06320","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.2 ","AYUNTAMIENTO DE MEDINA DE LAS TORRES"
46,"MERIDA","06800","Badajoz","RADIOFONICO (FM COMERCIAL)","95.6","SOCIEDAD ESPAÑOLA DE RADIODIFUSION S.A."
47,"MERIDA","06800","Badajoz","RADIOFONICO (FM COMERCIAL)","90.4","UNIPREX S.A.U"
48,"MERIDA","06800","Badajoz","RADIOFONICO (FM COMERCIAL)","100.4","RADIO INTERIOR S.L."
49,"MERIDA","06800","Badajoz","RADIOFONICO (FM COMERCIAL)","103.6","RADIO POPULAR S.A."
50,"MERIDA","06800","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.4 ","AYUNTAMIENTO DE MERIDA"
51,"MERIDA","06800","Badajoz","TELEVISIVO (TDTL COMERCIAL)","48","FRANCISCO JAVIER MORILLO BENEGAS"
52,"MERIDA","06800","Badajoz","TELEVISIVO (TDTL COMERCIAL)","48","PRODUCCIONES AUDIOVISUALES NORTE EXTREMADURA S.L."
53,"MONESTERIO","06260","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.9 ","AYUNTAMIENTO DE MONESTERIO"
54,"MONTERRUBIO DE LA SERENA","06427","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.6 ","AYUNTAMIENTO DE MONTERRUBIO DE LA SERENA"
55,"MONTIJO","06480","Badajoz","RADIOFONICO (FM COMERCIAL)","102.1","RADIO MONTIJO S.L."
56,"MONTIJO","06480","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.7 ","AYUNTAMIENTO DE MONTIJO"
57,"NAVALVILLAR DE PELA","06730","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.1 ","AYUNTAMIENTO DE NAVALVILLA DE PELA"
58,"OLIVA DE LA FRONTERA","06120","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.5 ","AYUNTAMIENTO DE OLIVA DE LA FRONTERA"
59,"OLIVENZA","06100","Badajoz","RADIOFONICO (FM COMERCIAL)","92.7","UNIPREX S.A.U"
60,"OLIVENZA","06100","Badajoz","RADIOFONICO (FM COMERCIAL)","105.5","KISS RADIO S.A."
61,"ORELLANA LA VIEJA","06740","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.4 ","AYUNTAMIENTO DE ORELLANA LA VIEJA"
62,"PUEBLA DE LA CALZADA","06490","Badajoz","RADIOFONICO (FM COMERCIAL)","96.3","RADIO POPULAR S.A."
63,"SIRUELA","06650","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.8 ","AYUNTAMIENTO DE SIRUELA"
64,"TALARRUBIAS","06640","Badajoz","RADIOFONICO (FM COMERCIAL)","91.5","UNIPREX S.A.U"
65,"VILLAFRANCA DE LOS BARROS","06220","Badajoz","RADIOFONICO (FM COMERCIAL)","89.3","CACERES BADAJOZ Y MERIDA S.L."
66,"VILLAFRANCA DE LOS BARROS","06220","Badajoz","RADIOFONICO (FM COMERCIAL)","91.9","RADIO INTERIOR S.L."
67,"VILLAFRANCA DE LOS BARROS","06220","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.7","AYUNTAMIENTO DE VILLAFRANCA DE LOS BARROS"
68,"VILLANUEVA DE LA SERENA","06700","Badajoz","RADIOFONICO (FM COMERCIAL)","94.9","RADIO INTERIOR S.L."
69,"VILLANUEVA DE LA SERENA","06700","Badajoz","RADIOFONICO (FM COMERCIAL)","101.1","CACERES BADAJOZ Y MERIDA S.L."
70,"VILLANUEVA DE LA SERENA","06700","Badajoz","RADIOFONICO (FM COMERCIAL)","91.8","RADIODIFUSORA DEL SUR S.L."
71,"VILLANUEVA DE LA SERENA","06700","Badajoz","RADIOFONICO (FM COMERCIAL)","98.4","SOCIEDAD ESPAÑOLA DE RADIODIFUSION S.A."
72,"VILLANUEVA DE LA SERENA","06700","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.2 ","AYUNTAMIENTO DE VILLANUEVA DE LA SERENA"
73,"VILLANUEVA DEL FRESNO","06110","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.4 ","AYUNTAMIENTO DE VILLANUEVA DEL FRESNO"
74,"ZAFRA","06300","Badajoz","RADIOFONICO (FM COMERCIAL)","93.0","GRUPO RADIOTELEVISION ZAFRA S.L."
75,"ZAFRA","06300","Badajoz","RADIOFONICO (FM COMERCIAL)","104.1","RADIO INTERIOR S.L."
76,"ZAFRA","06300","Badajoz","RADIOFONICO (FM MUNICIPAL)","107.5 ","AYUNTAMIENTO DE ZAFRA"
77,"ZAFRA","06300","Badajoz","TELEVISIVO (TDTL COMERCIAL)","37","GRUPO RADIOTELEVISION ZAFRA S.L."
78,"ALMARAZ","10350","Cáceres","RADIOFONICO (FM MUNICIPAL)","107.0","AYUNTAMIENTO DE ALMARAZ"
79,"ARROYO DE LA LUZ","10900","Cáceres","RADIOFONICO (FM COMERCIAL)","95.7","KISS RADIO S.A."
80,"ARROYO DE LA LUZ","10900","Cáceres","RADIOFONICO (FM MUNICIPAL)","107.6 ","AYUNTAMIENTO DE ARROYO DE LA LUZ"
81,"CACERES","10000","Cáceres","RADIOFONICO (FM COMERCIAL)","89.5","RADIO INTERIOR S.L."
82,"CACERES","10000","Cáceres","RADIOFONICO (FM COMERCIAL)","97.0","SOCIEDAD ESPAÑOLA DE RADIODIFUSION S.A."
83,"CACERES","10000","Cáceres","RADIOFONICO (FM COMERCIAL)","94.4","SOCIEDAD ESPAÑOLA DE RADIODIFUSION S.A."
84,"CACERES","10000","Cáceres","RADIOFONICO (FM COMERCIAL)","106.1","GESTION INTEGRAL DE COMUNICACIÓN DE EXTREMADURA S.L."
85,"CACERES","10000","Cáceres","RADIOFONICO (FM COMERCIAL)","91.6","UNIPREX S.A."
86,"CACERES","10000","Cáceres","RADIOFONICO (FM COMERCIAL)","88.8","RADIO POPULAR S.A."
87,"CACERES","10000","Cáceres","RADIOFONICO (FM COMERCIAL)","92.6","SOCIEDAD ESPAÑOLA DE RADIODIFUSION S.A."
88,"CASAR DE CACERES","10190","Cáceres","RADIOFONICO (FM COMERCIAL)","90.4","UNIDAD EDITORIAL INFORMACION DEPORTIVA, S.L.U."
89,"CORIA","10800","Cáceres","RADIOFONICO (FM COMERCIAL)","93.6","RADIO INTERIOR S.L."
90,"CORIA","10800","Cáceres","RADIOFONICO (FM COMERCIAL)","106.3","RADIO AMANECER S.A."
91,"GUADALUPE","10140","Cáceres","RADIOFONICO (FM COMERCIAL)","100.4","ANGEL GUERRERO S.L."
92,"HERVAS","10700","Cáceres","RADIOFONICO (FM COMERCIAL)","104.1","KISS RADIO S.A."
93,"JARAIZ DE LA VERA","10400","Cáceres","RADIOFONICO (FM MUNICIPAL)","107.5","AYUNTAMIENTO DE JARAIZ DE LA VERA"
94,"JARAIZ DE LA VERA","10400","Cáceres","RADIOFONICO (FM COMERCIAL)","101.2","LUIS DEL OLMO MAROTE"
95,"JARANDILLA DE LA VERA","10450","Cáceres","RADIOFONICO (FM MUNICIPAL)","107.1 ","AYUNTAMIENTO DE JARANDILLA DE LA VERA"
96,"MALPARTIDA DE CACERES","10190","Cáceres","RADIOFONICO (FM COMERCIAL)","103.1","SOCIEDAD ESPAÑOLA DE RADIODIFUSION S.A."
97,"MALPARTIDA DE PLASENCIA","10590","Cáceres","RADIOFONICO (FM COMERCIAL)","103.2","RADIO POPULAR S.A."
98,"MIAJADAS","10100","Cáceres","RADIOFONICO (FM COMERCIAL)","90.8","ANGEL GUERRERO S.L."
99,"MIAJADAS","10100","Cáceres","RADIOFONICO (FM MUNICIPAL)","107.7 ","AYUNTAMIENTO DE MIAJADAS"
100,"MORALEJA","10840","Cáceres","RADIOFONICO (FM COMERCIAL)","92.8","CACERES, BADAJOZ Y MERIDA S.L."
101,"MORALEJA","10840","Cáceres","RADIOFONICO (FM COMERCIAL)","91.0","SOCIEDAD ESPAÑOLA DE RADIODIFUSION S.A."
102,"NAVALMORAL DE LA MATA","10300","Cáceres","RADIOFONICO (FM COMERCIAL)","105.8","RADIO POPULAR S.A."
103,"NAVALMORAL DE LA MATA","10300","Cáceres","RADIOFONICO (FM COMERCIAL)","104.7","PRODUCCIONES AUDIOVISUALES NORTE EXTREMADURA S.L."
104,"NAVALMORAL DE LA MATA","10300","Cáceres","RADIOFONICO (FM COMERCIAL)","91.1","RADIO INTERIOR S.L."
105,"NAVALMORAL DE LA MATA","10300","Cáceres","TELEVISIVO (TDTL COMERCIAL)","32","MARTIN GARCIA CHAMORRO"
106,"PINOFRANQUEADO","10630","Cáceres","RADIOFONICO (FM COMERCIAL)","100.2","CANAL NORTE EXTREMADURA S.L."
107,"PLASENCIA","10600","Cáceres","RADIOFONICO (FM COMERCIAL)","98.0","RADIOESTUDIO S.A."
108,"PLASENCIA","10600","Cáceres","RADIOFONICO (FM COMERCIAL)","97.4","GESTION INTEGRAL DE COMUNICACIÓN DE EXTREMADURA S.L."
109,"PLASENCIA","10600","Cáceres","RADIOFONICO (FM COMERCIAL)","91.4","SOCIEDAD ESPAÑOLA DE RADIODIFUSION S.A."
110,"PLASENCIA","10600","Cáceres","RADIOFONICO (FM COMERCIAL)","87.6","RADIO INTERIOR S.L."
111,"PLASENCIA","10600","Cáceres","RADIOFONICO (FM COMERCIAL)","96.8","UNIPREX S.A.U"
112,"PLASENCIA","10600","Cáceres","TELEVISIVO (TDTL COMERCIAL)","28","MARTIN GARCIA CHAMORRO"
113,"PLASENCIA","10600","Cáceres","TELEVISIVO (TDTL COMERCIAL)","28","RADIO VEGAS ALTAS S.L."
114,"TALAYUELA","10310","Cáceres","RADIOFONICO (FM COMERCIAL)","91.9","RADIO INTERIOR S.L."
115,"TORREJONCILLO","10830","Cáceres","RADIOFONICO (FM MUNICIPAL)","107.0 ","AYUNTAMIENTO DE TORREJONCILLO"
116,"TRUJILLO","10200","Cáceres","RADIOFONICO (FM COMERCIAL)","95.5","SOCIEDAD ESPAÑOLA DE RADIODIFUSION S.A."
117,"TRUJILLO","10200","Cáceres","RADIOFONICO (FM MUNICIPAL)","107.2 ","AYUNTAMIENTO DE TRUJILLO"
118,"VALENCIA DE ALCANTARA","10415","Cáceres","RADIOFONICO (FM COMERCIAL)","99.8","CACERES BADAJOZ Y MERIDA S.L."
